Palavra-chave,Título,Empresa,Localização,Tipo de trabalho,Link
Desenvolvedor,"Senior Data Scientist
Senior Data Scientist with verification",Amaris Consulting,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4306150827/?eBP=CwEAAAGZ6X5jG-tsHyaQLOfeWZdBbyYrrCQzRIfonFUppaoroHhUQMuz8HUjPGcO4HToiUobCJ0-_nV1kGTxUyJWRANzxgNK83Z7Bna7r0_H37LEZWZZniwjb5Hsx7uWrp_rlvbBjmFqi83Xx1LflssUd7CYlQ5xDwF1C6DiEoD073ruOoScJkH7HizjrKmeh9sbvjhhgAgVc7OVeIY5jdAJdrYwFHnb-BbDnSRuH4sOyiKj8TOiL-nm44xVMVs0unJtLBMmQtQefXdg8qQN7TR0-pkVDCShsI6NOkVk4DheWV7NPKzuZftPVMm5TkVns0cFbxo6esCITYAu0xrxVUQaIJ8ADh6cSfx1EdSUUNfZpLy7FwUvkxNDJjdPpegxwswDN94Kuubco0NH36FEl8ZcboKOVc3AkQVUghxo_9ag2oYFZhuJ8sGj68kYE3VJg2a255DpOxzfrbXstgMdmL2ZlDbo2M3MM9KZ6yVI3QI&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=1GtwxUKU16nTJVB9jzSLiw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Analista de Logística
Analista de Logística with verification",Capricórnio Têxtil,"Bragança Paulista, São Paulo, Brasil (Presencial)",Presencial,https://www.linkedin.com/jobs/view/4312304494/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=Wi%2BuWi7LUSHZ0LL4vEz6zw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"FBS Data Product Manager
FBS Data Product Manager with verification",Capgemini,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4304246793/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=CwMDnUQSCYLbcrnVDZLh7w%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"GIS Python Developer
GIS Python Developer",Aptonet,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4311659947/?eBP=CwEAAAGZ6X5jG-QKb4dlZ-I--1j9d1fTF8E2LwsiET7-efrXzoMWyvOtF2YcUCloVUDpGJNYbKsBjq__PZJM4lYbfge0QNMLi9c6BszAga-_DcIpv1IKCcNUyKAVH4ik0Q0Oh_QqBE4dWijX4sF0LFu1vzbVrwIgTzjAvbS0L48H_FDhec1J1t3YzSXxAYRDKA4-nalDNIiAIQNtO-OV0oziFh8WFjdVeh0epx8e0cwI_W7LYhQm-8g3O5mOJOTX8qGJkwt6pFZT3a3vUbnU2XlIK-vLnlPtoBfZaEkkUdn52UfdhUrbPXu_NU6zjNhuC1eLiXXNc-eNfhygZ_ryqwy6ghylKAUQyI3r8S5KBS_O742UCVKHu8Rwy1NlMehGHnT_l0pMdTRMQ_NuH-T0IY2TeWoHmABWn5ofSGkx-vnU0COSgRPVpYEQirWkx1FJI5qMvSTotYkQ4yMKZnnRJnrXWIVPTjNnvT9yhn92&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=A99idAdTOjeBp8NM0C3obw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Professor Conteudista - [Pós Tech - Arquitetura de Sistemas .NET] - Desenvolvimento Cloud-Native com .NET Aspire
Professor Conteudista - [Pós Tech - Arquitetura de Sistemas .NET] - Desenvolvimento Cloud-Native com .NET Aspire with verification",FIAP,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4314189324/?eBP=CwEAAAGZ6X5jG33irUdhP06WHVIzn6iogrRAt1IzV0qI2X1IaQ2dcipOfAVmANidsjz8w_dSCLdzGkFQeM5ORr6e3n5b9macdnLhNgUVgfoHOtePWwLUBmXMZV810g9HuZR4Uzp5JoOtt3tH98Ye6qp49PxeapHQyTM7wDCcP7dzOLG-1XWTv2IcxRK4xqigCp2dekcMEhbIZJcjGwEQluUGpKpxSlmuZDNwcRMK4V9K-ILd6_NcK6ACYWIHeH7Swr6FsPR4Ao6PLiPU2bBr23nEmArkLa6-oy3cl-1FdXjkrtwAmmj_CaiO_0WR54dU65PcSDf4RYaZ4x8oVI0UwLgeGOTOQ-LqJ_JXUowZHFpDo51EBgG9Ls-bOxhx---Sxufk9zoUKXnwQOQ32qGIq3y1EO2R9z05ocaK3yme6P314zKkSjqvYx_Qpur6KodeGOeLwvhQRqJAkxbjMA-Tv21jhbcXQWRl82p-6oX6uisWw0R_BRO3c0-4YsU1AZma9znstpSxBjyVnr2u&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=1FY7l%2FS4VRmOKhLea3tNcA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Pessoa Coordenadora de White Team
Pessoa Coordenadora de White Team with verification",Arco Educação,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4281691369/?eBP=CwEAAAGZ6X5jG8H7Rsz88cXD4he-Bx2oGoKOnYQZNDiDnouJHWbu0YweJzbSSwwj53drtpl7fLGfvm83MQ0GQnH6hWEjoIlu5eBop9sNPoei8eCbJiQ9DPIsuHjH9fS0BDq0xBYw3r65RL5-eR-osuRe9Yg5k9EQtIdV4HzW2qbPiYsJuuoFUm7IK376LiNqf3AJyQpMGuJNZ-TMHhXj0bMtxitkQChn2jMOqHY2l-Xn3U_do7qzjosP5IospgID26wpe7kzeo0UcF-bd_H47Twke46uVo8Su6ioYRrQGkqp4sxerPLttlNwUTtsaNByj-BQfwWTbn4msF0tVw3x4ZHW21sHEjW_ehJ-YSz9UBMoW1Qn094lYslpkI_WBZw4hFSlO1ZAe-b-ahhiwsjqAYksk-obvf6FamWSebMHP-Oocw5cNQdFxfpLXI-ZOCxLUPTZyTDo-zuRqj5HkNEeZuhBczJ59e_MaBzOqCcBGdo&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=X8ZSZs7WptTR630zJifLaw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Senior Data Analytics (Google), Brazil
Senior Data Analytics (Google), Brazil with verification",CI&T,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4312321966/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=pd4szTeq5Ttvvs3EVZp%2FRg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Agile Specialist I
Agile Specialist I with verification",Grupo Boticário,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4305608699/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=1R%2Bd8oXmxQrMFAX%2F6gFMpg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Account Executive
Account Executive",Sienna Charles,"São Paulo, Brasil (Remoto)",Remoto,https://www.linkedin.com/jobs/view/4262007276/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=%2FncSG7N8jtka8jQvQj45xw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Freelance Software Engineer - AI Projects (Remote)
Freelance Software Engineer - AI Projects (Remote)",Taskify,América Latina (Remoto),Remoto,https://www.linkedin.com/jobs/view/4314649068/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=9CB9U2fqO8fO1SHOX5y5bg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Lead Business Analyst (Salesforce)
Lead Business Analyst (Salesforce) with verification",EPAM Systems,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4309987228/?eBP=CwEAAAGZ6X5jG_ezVBffE8FfBcTqrnLCFlUcf75QNeHAaWR3fh1RtrV4YY_X-1vpfALSKs6bO5Yk78mjvw7qirDCaK8yTLf49vgXvirOuSK5f1AysmPHqi3YMvjuEdDe4aME9Fpr-sTO4ShZDZyCxBdCP0Yea4r5yP3pHmFk4wXO5xGDnW24UN6he8_6Ay19P7DkEVOijvq2P0lNzrg3ajIXe8HYB1Cr-AXKmHowAwCCZ6OYzoATPRQZnLVAmMkGUcwW34YFSFb3FICK4Ro-LFsB3NZkM9_ZRKK062hqqmAylv3i00PhAisDRHQeqDxOl8pfhabkw1yUoUjmEn0wpetMwsDdpbVybZc2Fp8dYdrcDjp7zzZKsjtqyqBBgadcpxgl0oCEGT9AXSyBo4yqLQKbtRt3kRBTD6lzN62MWjS48sGUJ385-XF6Hj2iUOkqN9zTqRI3-egRA3DIsV1MGRVm4yOygCE99kAKnSEO2COA7ZZPO5oZpqLCQB_Rrxrjfoqfdsk4iPRe7A1S&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=7UU72IN%2FXwoDIFE4nfXI1g%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Pessoa Product Designer
Pessoa Product Designer with verification",NTT DATA Europe & Latam,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4302185971/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=bfeIrv5lel2GSvzW%2Bm%2F9uQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"[Pessoas & Cultura] Analista de Planejamento e Governança Pleno | Gestão OKRs e Processos
[Pessoas & Cultura] Analista de Planejamento e Governança Pleno | Gestão OKRs e Processos",Contabilizei,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4308475953/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=j%2Bxzxjejj4uTx0Frvyfvew%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Senior Advanced Analytics
Senior Advanced Analytics with verification",AB InBev,"São Paulo, Brasil (Remoto)",Remoto,https://www.linkedin.com/jobs/view/4308575662/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=o15Rz82Pp0e7PO9Bf5ddWQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Engenheiro de Soluções de Automação Industrial
Engenheiro de Soluções de Automação Industrial with verification",Engineering Brasil,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4299567574/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=IgSjQlmtDoWmCyHQcUnIWg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"RPA Analyst
RPA Analyst",Meta IT North America,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4312289664/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=Amz8aVHTA4AO8CpzUJIUBQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Desenvolvedor de .NET Pleno
Desenvolvedor de .NET Pleno with verification",Engineering Brasil,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4303472657/?eBP=BUDGET_EXHAUSTED_JOB&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=KeC0RFPU1A0%2B5ItbYw24gg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Senior Accountant
Senior Accountant",Hire With Near,América Latina (Remoto),Remoto,https://www.linkedin.com/jobs/view/4315306318/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=BdNxK%2FeNF8Sz6%2FbebZMcUA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Database Reliability Engineer - DBRE
Database Reliability Engineer - DBRE with verification",Vortigo Digital,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4312865848/?eBP=CwEAAAGZ6X5jHHfwCCBiZ-aG-pAsidDX0fiXMV_UTTRyx2Ae-f44GSk5jyUkxEi1KOGkutzsNP9xkIGs35SyzjKyk26wMoOvtVHwzGg308VJaHr-bO6PyUEVkGc2DHaiX1J1-Rhu8AaniZQ0EN2KLNCaj99bTikoWqna8DCObYo5Es15uJKZxthPq-wBuW8MRuyABc-By1p3-3PkLlxX27XvTniBE8exH1JWgNeGmid7zBTBnXS39FCQPsqrVet1pf4q5gBDX-anC1r53EUaGdt_Wl_NG5FMqUeEW3m_kpgnskc97Ddnghiaoy6iGb4iHZ3gJBERSQ4ixry6OvtGXnPM6c0f973BylBvl5DKCNJJpV-9w3mXtluDXUq5P_fUwb9Yucz_jwQsb-TjVYPUswC-f8KAHG3bFSeVWJLK_pGh70p6yj8-uaGfMN_qLTDpnOQsHeZ7UGnroiZktSNfnyUaXps3O_uA9goP_T8gLRhya3jHJ9fOoNtng0TzZDC12vZKNjGxFhxiYysGsKKwXpQ_&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=xuGLut4K39ntcBmy30sdHg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Semi Senior Product Owner - (Remote/Brazil)
Semi Senior Product Owner - (Remote/Brazil)",Truelogic Software,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4302886763/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=IdRC%2FoeoGrLHAThZeCCJ0g%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"UX/UI Design Project Manager
UX/UI Design Project Manager",Halo Media,América Latina (Remoto),Remoto,https://www.linkedin.com/jobs/view/4308429855/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=B2Rn0TRc1FKnwvbzcwhUhg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Junior Data Scientist - LATAM
Junior Data Scientist - LATAM with verification",High 5 Games,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4301405179/?eBP=CwEAAAGZ6X5jHBJs-3jPzf5mhMyRwFKLpVwPBMOM5ZDaIyvjJ2H7uaMCpu3oDJAvYAOu5F6V3r9n-r9zNhUMSLrF_Kn3bgz84hQRaLOcJSrGbN4svECZD7WBdHuJIljAroUy_H3dfxU1PVfXItX-oSIogb3kgdHJR5XVPYi6JmvRfBjMmn5Ccvbct5jpBebLOpf0ywogX-GtKTx8Vh-9oaPzz2FIluAfkowdiw2Kib7qeDP8AM647XhiEL_RkhcRcqOYl8p-npksOe9LsFqaX3WlE8Sb2W58dZO6vc7tOCb4nmzJwQG7RsT6sb2hkGCGFRqXioG-pLFXGDnRY-8FhQ34oJ6leAJRpOa4V0NZ5aWHmQsfJpDUYKhoJU1s7QWlCckjiaGH99BnFbbZ6PfEaD2xXuDZ1Pcgwi37qjEW1LY8R17fzRFb8ZbfELJ3Q_m3S3d_FLYZNnr8AkpFspKhQFWYn2rtdwOu1ZnzbNfaXSro544-4g1rz7uZQSGmlzdhXfsJRnYhQNupFrQnjG5oFw&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=BWa6X8igWaVSGFLxZqNPZQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"ANALISTA DESENVOLVIMENTO DE SOFTWARE - JAVA | HOME OFFICE
ANALISTA DESENVOLVIMENTO DE SOFTWARE - JAVA | HOME OFFICE",Solinftec,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4300384470/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x%2F6OfczoZ1dlTZEb3oIvSA%3D%3D&trackingId=oBnAwLCWXrjLzqcfO8nCug%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Senior Business Analyst (Salesforce)
Senior Business Analyst (Salesforce) with verification",EPAM Systems,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4309981777/?eBP=CwEAAAGZ6X6rgrKgFBTA0UHRyOEk9E2l4p3cG3_fBTB8mTSuGsn7MGpDHmr1Y5SslzyztnbNXkMsqdpuVex6Bak4WDR3I0dS_F-xSLn1c1moO8-jq8hXVNHUgUI7IGUp4tR_rJOZhpiUs54IZoJ2FEY3RbqMlsVBS1nFYo4nmjZQ5Pq_O5b0t8_ODg2F4KZX6ODfcD2bFhtUZLZUT0bkI2sKNX9nXUNfNqFO9JM75SuZVxX9wOAHVgp74VB_3G0XwOnlxdjkAVB7F7ieTJ3Jx887nBtTDs3XZIqtDqTdwSo8zsdcQjmGiC_jRNbnD6hY17eC0KyqNUkZn_kUnT4WVKsnsMDuOazEiQMthGc3IMJrpWX-f3fuOg7kHnjcjYpvaMlTZYQKcF81Hl6wrUHo6qIVQVDN5RRycPkY_7gAf4R9DsEviUqVtYQw6vmAgFf3H8VIm0Nc6jE67_czpD5PhyFrwiLKKYD00Dw80duh6otyMrhZGVJQN6N3xWJEzCWfUUbyguoF8JpkPakP&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=Z06GPEL6fWOUHnzVNcp50g%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Desenvolvedor Back end Sênior/ IA
Desenvolvedor Back end Sênior/ IA with verification",Zuri,"São Paulo, Brasil (Remoto)",Remoto,https://www.linkedin.com/jobs/view/4307273961/?eBP=CwEAAAGZ6X6rgrMJW5mKcAUesfC-FVhMUhwumnRsV7eJYlImr1EUXxK9V0ODvPkHIdPKnMRuG7YYq09OULbQQaJdJdZrOaNbMqzhd1yOdjU1j6zcIC3H2-BwDCLv7_ciU2YuYGu3A2FDB7KB1RZErqO8drAecjzj8QnWMq6WNmTp4QnFTIBndBFQTgYhTPCj2A5QSd_4uwgMgd37lm5jEXBlXw9En6dqpb05FctRnTgV5Zx-6C1jwp5s58_5-YMacZvjcxMFI3dUb-8t1VE6-uzT2kJalgE2DA0Tf_L-XSU1ASPSfAuizwOEWyCe7OWQynsM4n6D7CxB7iROZ6Hvrv2kCht8QA5iqPLyWx8Mjw4BUuPmNx8cRXHYFL5clDHCr3gxo9V87MLl-l8hslJB9DtKFNPOotjEXZ30gV4_dizdqJIFcCBQg1ibE5E7ONf3tjXwwIXHtQ3dFsrIdZJHaGm17YX_v3EES4J5soAKS4C2X0eu424YUcDevM93DCfkGHUqXjeYNBULpieg&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=aedMLO4UCQNzEIyMbIDDIQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Database Support Engineer - US Central/East
Database Support Engineer - US Central/East",TigerData (creators of TimescaleDB),Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4297029512/?eBP=CwEAAAGZ6X6rg9QMpk5pSA0Dw9bcAHMsuX5Hs4DGeZ30yyP9e4Sjx-C4H_602c9ZlIl800TrxbDoqWYa-5JIMevVaheBL-eT0gPH_g4_R4kea-q10524ApUWCEZt0nBFj_O4Q47LyNfjPwy6jx2Bh3OV4xQ0svaBNRCVo1VpiAZtLdRx_9leSaqFM9nmXjuTq93uMeOCx-uYjeW4BhHbHAj_pW6rQXFxwP5miIH3wWHcSXlBkAhNc_QqoHXDlSTYJBM1bRpesW-X2s-lZK_SSN8YQ9QrrTTbs4N8321pREdsBL-ZlmegLy1Z-avfiL6UWQGfcGvRQlUNeMm0XNGig37rwwiaR5DRGBFUZg6xaPBw5FXJikWeieG9I1mLC5l9kGtqu71LgEz-yp-Nht7d2H8_j7CyLfKZ57WnLT64eluBk7fiTuQzgl3NbKBLX1Is0jn_owVVyaJdwfryKNTIzu_3obh9iCPuZRQmRvWI67SE-UQoZzHBXQZmjgwsTaP4Pi0vJdcJpIfE6g&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=7d1Dm6vTcEWgFuGKgLhXXA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Engenheiro(a) de Cloud (Especialista AWS)
Engenheiro(a) de Cloud (Especialista AWS) with verification",DBC Company,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4291931310/?eBP=CwEAAAGZ6X6rg1FRo3u63r4r57z-7cn_vFYIrWiXKIELyV5mjPNxbRTaIDR8kEGzW01H8MvIEeg1DRHQjsilMK_Xzwg54__FGA22N58yl9UZlpzVwS9x6ZsD2IAfNvoJscVR2tTWT0GHZqApZocpgPUoAYrJk3soHTfyHPstEnEqrKFbpiYnq1AOutpN-edxnGpsQRfhMzfQtEQffQUvQBwmhVO8vy2V70Not2CKv3FBj28kpy7IDzgQrr3CTfwBxoxtkmqtC0Q8uTCtal5u9Sm8XB6CTGIF5S1pfRn2VKfLJdBI3LGogafzTzRxZUnQhZyxVT9eQTdgfXXuhO75ePienFDXR1R180EDTKFJ_bMhSU2cq-JRd4W1UGs3ztIc6K8WpX8SghnqtSrYQa8JfvWrmldOgpKUZ3fk7yORFfSbw0oWor3O4pNLQYYKrzvPC2cgjH8nf_vEXqYKfi5qPTu9K8mCc3eFBcKyOhrM3h4PQwmuLilINASpDgNcefA-7ITajjPF9HswVL0A&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=6xzH35vRtFiQSMFsM5wRGQ%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"DATA SCIENTIST PL
DATA SCIENTIST PL with verification",Stone,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4307259558/?eBP=BUDGET_EXHAUSTED_JOB&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=1ud8RLa5Za0yAk97M5ZZMA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Technical Program Manager (Inglês)
Technical Program Manager (Inglês)",Meta,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4302621442/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=c1o7Y9coWKJpTilM3VaLmA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Executivo Comercial (Hunter)
Executivo Comercial (Hunter) with verification",Ticket Log,"São Paulo, Brasil (Remoto)",Remoto,https://www.linkedin.com/jobs/view/4313242557/?eBP=BUDGET_EXHAUSTED_JOB&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=KooLV4m%2BgVOKJ2zG6Grtaw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Chatbot Developer Pleno
Chatbot Developer Pleno with verification",Gringo,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4309589402/?eBP=BUDGET_EXHAUSTED_JOB&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=ZT%2Fgd1U0eN9ocDhZCcKpLw%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Customer Success Manager - Web3 / Blockchain (App: d7c4e)
Customer Success Manager - Web3 / Blockchain (App: d7c4e)",Referment,América Latina (Remoto),Remoto,https://www.linkedin.com/jobs/view/4314103687/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=8QBXruPWA%2FpYGx8VpTF4bg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Desenvolvedor FullStack - Remoto
Desenvolvedor FullStack - Remoto",Talent&Tech,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4298636057/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=F%2BoWORB5LiXwxKa7AjwAAg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Analista Devops Sênior
Analista Devops Sênior with verification",Stefanini Brasil,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4309045647/?eBP=CwEAAAGZ6X6rg4C5NwXHUQWd5wfbPQmSvGrGqjzsLcotH2hcQZtERdEz-S8Wj7-syn0FlS0r0V9sjMUCOOkrcNFfd7ISzfCW5P8KxFUkGAT43x023WU_qI6NG235fecJzHv1datiAlNy1x-cifGaBdNSbkyafbjdVMaNJR0EanYPywfvw1xRGUJLZAjLtbIJeCVLNnfWNkvgbClS2OaAs9V0U7IEsuRBCuxD7YDqRBsoQ2NUoy_nY5PywULCetZdNg2wOj5NoOQ9KG09nz01dNPUgo6P0-AVJJiBYPt51gfg0VbW_5pu2IGDgaprTxKg-2Q2bwdCIvRI_WQuWZ5JF_4zhSeCkvrLDEwM_LBW4HO67VG85xmuRIq7GH1L-Nq-1qGXkqMJ1PedEM1na5LMr60AYwo7RS08fC0hTQ7jBVgp-q0I8IFTySRn_Z_XcH98-tdFnWocYkJ2qIMucvog491wUHoa7UVpQGA2lyzNHa-yLw80Ni56NESpuF6MkJcpeVSVMdvIHH9XqRBZFW4&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=DsWvvrGzy11o498xnAk7KA%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Analista de Customer Service , Delivery Station Customer Support
Analista de Customer Service , Delivery Station Customer Support with verification",Amazon,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4304431440/?eBP=CwEAAAGZ6X6rg3P30UTtqpkulps6ACYvwxFirTg--RpYRJO1_IEjzRnLlBKk8b-hxEPHFl1xD8tlhsVLNyZotkpO3jn6Tpo9ByqSfRCbJIWbAW_racD5v8F-B_3CDmSsKFKiQcaiN2TUHSce7cW72rZ1s5eJ38c9Ap5tmU0HK-SdXC5cP7p9B9ziDWkUr98cyeD4ByMGrmgt1AxIPLOdkcEja-dFNrji1176ImwFi2xNirSzEW6Vez7g1zEFui0g2w2hqIaIHfacDjjqhb3mFhwB250CxgbeYGfjrnidnsrTbJjUwaGI8I_N3EJdNDX8j1IlMHMN_tu9mqKjZWZo0cO3j4WNEu8lrdlWQfLBISMKd0ekXhVlLkJ6_q8aT1CnQPP7XNKH-kYx-gmabz_DkXNUAYBpm_PTSB7cx88JpaxjNvWN6PxJTVUobEnDjRHXIes5V4lFVn0TFDg-Rvg_CKsVelUEyVkFqB_ka1pUF36urkR8vAXjI8cLa-_-aZbtgfVbXg&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=TBwrOGX5LfkR0OBrsq9PCg%3D%3D&trk=flagship3_search_srp_jobs
Desenvolvedor,"Tutor
Tutor",DataAnnotation,Brasil (Remoto),Remoto,https://www.linkedin.com/jobs/view/4304426993/?eBP=BUDGET_EXHAUSTED_JOB&refId=pKE9ozahs9rpQxAR%2Fvpu4w%3D%3D&trackingId=zqWe3%2FijyTMWuzsCLgLHsw%3D%3D&trk=flagship3_search_srp_jobs
